path,face_count,eye_sharpness_min,eye_sharpness_max,whole_image_sharpness,fallback_used
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4288.JPG,0,,,1482.8326,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4289.JPG,0,,,739.7412,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4290.JPG,0,,,1222.6012,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4291.JPG,0,,,1469.7931,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4292.JPG,0,,,1416.3786,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4293.JPG,0,,,1502.0096,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4294.JPG,0,,,1508.4263,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4295.JPG,0,,,1385.2732,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4296.JPG,0,,,1359.7205,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4297.JPG,0,,,1189.0345,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4298.JPG,0,,,1263.4502,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4299.JPG,0,,,910.8781,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4300.JPG,0,,,1051.3132,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4301.JPG,0,,,1063.7899,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4302.JPG,0,,,1164.1176,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4303.JPG,0,,,1090.6423,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4305.JPG,0,,,500.322,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4306.JPG,0,,,486.4699,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4307.JPG,0,,,1136.0868,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4308.JPG,0,,,468.2649,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4309.JPG,0,,,571.2206,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4310.JPG,1,17.6191,195.0251,260.4105,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4311.JPG,1,12.023,191.5753,241.6251,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4312.JPG,0,,,697.6871,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4313.JPG,0,,,702.0325,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4314.JPG,0,,,782.7522,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4315.JPG,0,,,730.4559,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4316.JPG,0,,,761.7718,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4317.JPG,0,,,766.0384,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4318.JPG,0,,,768.6416,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4319.JPG,0,,,764.1618,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4320.JPG,0,,,762.6849,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4321.JPG,0,,,769.3258,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4322.JPG,0,,,777.3865,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4323.JPG,0,,,865.7556,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4324.JPG,0,,,745.6737,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4325.JPG,0,,,530.4842,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4326.JPG,1,103.4828,108.1179,846.3573,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4327.JPG,0,,,843.3578,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4328.JPG,1,3.2786,5.9301,601.3591,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4329.JPG,1,5.4735,7.1965,663.2443,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4330.JPG,1,6.0505,9.6717,653.3906,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4331.JPG,1,6.6508,8.4593,638.9045,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4332.JPG,1,6.6063,6.9888,649.9362,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4333.JPG,1,2.7017,4.4004,573.3876,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4334.JPG,1,7.0186,13.0384,805.2951,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4335.JPG,0,,,726.1318,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4336.JPG,0,,,641.2536,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4337.JPG,0,,,521.6699,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4338.JPG,0,,,703.9279,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4339.JPG,0,,,630.4784,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4340.JPG,0,,,654.9489,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4341.JPG,0,,,582.2911,True
